артикул;наименование;бренд;категория;направление;ед;закупка;характеристики
RXM2AB2BD;Реле промежуточное 24 В DC с колодкой;Schneider Electric;Контакторы и реле;универсальное;компл.;810;2 перекидных контакта, 8 А
RE7TP11BU;Реле времени, задержка 0,1…10 с;Schneider Electric;Контакторы и реле;универсальное;шт;3480;
РП21-003 24В;Реле промежуточное РП21, 24 В, с колодкой;КЭАЗ;Контакторы и реле;универсальное;компл.;390;
LRD21;Реле тепловое 13…18 А;Schneider Electric;Контакторы и реле;универсальное;шт;980;класс 10A
БАВР-63;Комплект АВР на автоматических выключателях с моторприводом, до 63 А;КЭАЗ;Контакторы и реле;нку;компл.;18900;мотор-редуктор, контроллер АВР
OVR T2 3L 40;УЗИП тип 2, 3 фазы, 40 кА;ABB;УЗИП и защита;нку;шт;5800;класс II
OVR T1+T2 3L 25;УЗИП тип 1+2, 3 фазы, 25 кА;ABB;УЗИП и защита;нку;шт;12800;класс I+II
УЗМ-51М;Устройство защиты многофункциональное 63 А;Меандр;УЗИП и защита;нку;шт;3350;защита от перенапряжений
Меркурий 201.5;Счётчик электроэнергии однофазный;Инкотекс;Измерения и учёт;нку;шт;940;5(60) А, класс 1
Меркурий 231 АТ-01;Счётчик электроэнергии трёхфазный многотарифный;Инкотекс;Измерения и учёт;нку;шт;3520;5(60) А, RS-485
Т-0666 100/5;Трансформатор тока 100/5 А;IEK;Измерения и учёт;нку;шт;680;класс 0,5S
DM-100;Мультиметр щитовой (В, А, кВт, cos φ);EKF;Измерения и учёт;нку;шт;2450;DIN-рейка
КПЕ-111;Кнопка пуск/стоп 22 мм с самофиксацией (красная);EKF;Кнопки и индикация;универсальное;шт;175;
АЛС-22;Лампа светодиодная 22 мм, 230 В (зелёная);EKF;Кнопки и индикация;универсальное;шт;130;
ППЕ-11;Переключатель 1-0-2, 22 мм, 10 А;IEK;Кнопки и индикация;универсальное;шт;225;3 положения
KE-0111;Кнопка аварийного стопа, грибок, с фиксацией;EKF;Кнопки и индикация;универсальное;шт;240;
DRP-120-24;Источник питания 24 В DC, 5 А, на DIN-рейку;Mean Well;Блоки питания;универсальное;шт;2390;
DRP-240-24;Источник питания 24 В DC, 10 А, на DIN-рейку;Mean Well;Блоки питания;универсальное;шт;3980;
ЩИТ-12;Корпус щита навесной, 12 модулей, IP31;IEK;Корпуса и щиты;нку;шт;360;
ЩМП-600.400.220;Корпус щита ЩМП 600×400×220, IP54, монтажная панель;КЭАЗ;Корпуса и щиты;нку;шт;3550;
Шкаф 1800×600×400;Шкаф напольный 1800×600×400, IP54, монтажная панель;ЦМО;Корпуса и щиты;нку;шт;13900;
Шкаф 2000×800×600;Шкаф напольный для АСУ 2000×800×600, IP54;ЦМО;Корпуса и щиты;асу;шт;18900;
Цоколь 600×400;Цоколь для напольного шкафа 600×400, h=100;ЦМО;Корпуса и щиты;нку;шт;2100;
Панель боковая 1800;Панель боковая для шкафа 1800 (комплект 2 шт);ЦМО;Корпуса и щиты;нку;компл.;1650;
ШИ-63;Шина нулевая 63 А в корпусе;IEK;Шины и клеммы;нку;шт;140;
PS-63 3P;Шина соединительная 3P, 63 А, 12 модулей;IEK;Шины и клеммы;нку;шт;255;
ШМТ 25×3;Шина медная 25×3 мм, лужёная;КВТ;Шины и клеммы;универсальное;м;640;до 160 А
ШМТ 40×4;Шина медная 40×4 мм, лужёная;КВТ;Шины и клеммы;универсальное;м;1010;до 250 А
ЗНИ-4;Клемма проходная ЗНИ-4, 4 мм²;КВТ;Шины и клеммы;универсальное;шт;32;
КН-60;Набор клеммный с маркировкой, 60 клемм;КВТ;Шины и клеммы;универсальное;компл.;1290;
DIN 35×7.5;DIN-рейка 35×7,5 мм, длина 1 м;КВТ;Шины и клеммы;универсальное;м;90;
ПВС 3×2,5;Кабель ПВС 3×2,5;Камкаб;Кабель и монтаж;универсальное;м;58;
ВВГнг(А)-LS 3×6;Кабель силовой ВВГнг(А)-LS 3×6;Камкаб;Кабель и монтаж;универсальное;м;198;
ПуГВ 1×16;Провод монтажный ПуГВ 1×16, жёлто-зелёный;Камкаб;Кабель и монтаж;универсальное;м;138;
НШВИ 16;Наконечник штыревой втулочный НШВИ 16, уп. 100 шт;КВТ;Кабель и монтаж;универсальное;уп.;225;
ПЛК110-24;Программируемый контроллер ПЛК110-24, Ethernet, RS-485;ОВЕН;ПЛК и модули;асу;шт;20900;24 В, CODESYS
МВ110-16Д;Модуль дискретных входов, 16 каналов, 24 В;ОВЕН;ПЛК и модули;асу;шт;7550;
МУ110-16Р;Модуль дискретных выходов, 16 релейных каналов;ОВЕН;ПЛК и модули;асу;шт;8050;
МВ110-8А;Модуль аналоговых входов, 8 каналов;ОВЕН;ПЛК и модули;асу;шт;9450;4-20 мА / 0-10 В
МУ110-4Т;Модуль аналоговых выходов, 4 канала;ОВЕН;ПЛК и модули;асу;шт;9950;
СП310-10;Панель оператора 10,1", Ethernet, RS-485;ОВЕН;Панели оператора;асу;шт;24600;
СП307-07;Панель оператора 7", RS-485;ОВЕН;Панели оператора;асу;шт;16600;
ПД100И-1.6;Датчик давления 0…1,6 МПа, выход 4-20 мА;ОВЕН;Датчики;асу;шт;3200;
ДТС125-Pt100;Датчик температуры Pt100, L=120 мм;ОВЕН;Датчики;асу;шт;2020;
ПЧВ107-5,5К-Т4;Преобразователь частоты 5,5 кВт, 380 В;ОВЕН;Преобразователи частоты;асу;шт;18200;
IE-SW-BL08-8TX;Промышленный коммутатор Ethernet, 8 портов 10/100;Moxa;Сетевое оборудование;асу;шт;20900;-10…+60 °C, DIN
IMC-101-S-SC;Медиаконвертер Ethernet/оптика SC, одномод;Moxa;Сетевое оборудование;асу;шт;5800;
PP3-19-24;Патч-панель 19", 24 порта, cat.5e;ЦМО;Сетевое оборудование;асу;шт;2680;
SMART 1000;ИБП 1000 ВА / 900 Вт, on-line;Powercom;Сетевое оборудование;асу;шт;12300;
TMC 30-2 CR;Кабель греющий саморегулирующийся 30 Вт/м, 230 В;Тепломаг;Греющий кабель;обогрев;м;268;оболочка с УФ-защитой
TMC 15-2;Кабель греющий саморегулирующийся 15 Вт/м;Тепломаг;Греющий кабель;обогрев;м;208;
SamregPro 40;Кабель греющий повышенной мощности 40 Вт/м, 400 В;ССТ;Греющий кабель;обогрев;м;395;
РТД-16;Терморегулятор на DIN-рейку, 16 А, с датчиком;ССТ;Управление обогревом;обогрев;шт;4700;
E5CC-RX2ASM-800;Регулятор температуры электронный E5CC, 48×48;Omron;Управление обогревом;обогрев;шт;10500;
TST05;Датчик температуры трубы +5…+95 °C;ССТ;Управление обогревом;обогрев;шт;2380;
RTD-KIT;Комплект соединительный для греющего кабеля;ССТ;Монтаж обогрева;обогрев;компл.;700;
ALU-50;Лента монтажная алюминиевая, 50 мм × 45 м;ССТ;Монтаж обогрева;обогрев;рул.;295;
ЩУО-6;Корпус щита управления обогревом, IP54;КЭАЗ;Монтаж обогрева;обогрев;шт;2950;
